2016-09-05 10:05:12 startup archives unpack
2016-09-05 10:05:14 upgrade libtiff4:amd64 3.9.6-11 3.9.6-11+deb7u1
2016-09-05 10:05:14 status half-configured libtiff4:amd64 3.9.6-11
2016-09-05 10:05:15 status unpacked libtiff4:amd64 3.9.6-11
2016-09-05 10:05:15 status half-installed libtiff4:amd64 3.9.6-11
2016-09-05 10:05:16 status half-installed libtiff4:amd64 3.9.6-11
2016-09-05 10:05:16 status unpacked libtiff4:amd64 3.9.6-11+deb7u1
2016-09-05 10:05:16 status unpacked libtiff4:amd64 3.9.6-11+deb7u1
2016-09-05 10:05:16 upgrade linux-libc-dev:amd64 3.2.81-1 3.2.81-2
2016-09-05 10:05:16 status half-configured linux-libc-dev:amd64 3.2.81-1
2016-09-05 10:05:16 status unpacked linux-libc-dev:amd64 3.2.81-1
2016-09-05 10:05:16 status half-installed linux-libc-dev:amd64 3.2.81-1
2016-09-05 10:05:18 status half-installed linux-libc-dev:amd64 3.2.81-1
2016-09-05 10:05:18 status unpacked linux-libc-dev:amd64 3.2.81-2
2016-09-05 10:05:19 status unpacked linux-libc-dev:amd64 3.2.81-2
2016-09-05 10:05:20 startup packages configure
2016-09-05 10:05:20 configure libtiff4:amd64 3.9.6-11+deb7u1 <none>
2016-09-05 10:05:20 status unpacked libtiff4:amd64 3.9.6-11+deb7u1
2016-09-05 10:05:20 status half-configured libtiff4:amd64 3.9.6-11+deb7u1
2016-09-05 10:05:21 status installed libtiff4:amd64 3.9.6-11+deb7u1
2016-09-05 10:05:21 configure linux-libc-dev:amd64 3.2.81-2 <none>
2016-09-05 10:05:21 status unpacked linux-libc-dev:amd64 3.2.81-2
2016-09-05 10:05:21 status half-configured linux-libc-dev:amd64 3.2.81-2
2016-09-05 10:05:21 status installed linux-libc-dev:amd64 3.2.81-2

